sep=;time (Quelle1)
5.681;93.3792114257813
5.704;93.377685546875
5.727;93.377685546875
5.753;93.377685546875
5.777;93.377685546875
5.798;93.377685546875
5.825;93.377685546875
5.848;93.377685546875
5.874;93.377685546875
5.896;93.377685546875
5.918;93.377685546875
5.945;93.377685546875
5.968;93.377685546875
5.989;93.377685546875
6.016;93.3792114257813
6.039;93.3792114257813
6.065;93.3792114257813
6.089;93.3792114257813
6.113;93.3792114257813
6.135;93.3792114257813
6.158;93.3792114257813
6.181;93.3792114257813
6.21;93.377685546875
6.23;93.377685546875
6.258;93.377685546875
6.282;93.377685546875
6.302;93.377685546875
6.329;93.377685546875
6.353;93.377685546875
6.376;93.377685546875
6.403;93.377685546875
6.427;93.3792114257813
6.451;93.3792114257813
6.476;93.3792114257813
6.499;93.3792114257813
